,Fase,Gênero,Instituição de ensino,IAA,IEG,IPS,IDA,Matem,Portug,Inglês,IPV,IAN,Idade,IPP,Defasagem,Status_entrada,INDE
2249,1,Masculino,Pública,9.0,5.8,0.075,8.0,7.0,9.0,0.0,5.7,5.0,10.0,6.3,-1.0,0,6.6752
2243,1,Masculino,Pública,9.0,7.9,0.075,7.0,6.0,8.0,0.0,7.1,10.0,10.0,7.5,0.0,0,7.797628571
2244,1,Masculino,Pública,9.0,10.0,0.075,8.8,7.5,10.0,0.0,7.9,10.0,10.0,8.1,0.0,0,8.7897
2245,1,Feminino,Pública,7.5,9.8,0.075,7.5,5.0,10.0,0.0,8.0,10.0,10.0,8.1,0.0,0,8.375080952
2246,1,Masculino,Pública,9.5,7.9,0.063,6.0,6.0,6.0,0.0,6.5,10.0,10.0,7.2,0.0,0,7.374378571
2247,1,Masculino,Pública,9.5,8.3,0.075,7.3,7.5,7.0,0.0,7.2,5.0,10.0,8.0,-1.0,0,7.548241667
2268,2,Feminino,Pública,7.9,7.8,0.075,4.0,2.0,6.0,0.0,5.7,10.0,11.0,6.0,0.0,0,6.643252381
2269,2,Feminino,Pública,8.5,5.6,0.063,5.3,2.0,8.5,0.0,8.1,5.0,13.0,8.1,-1.0,0,6.578604762
2270,2,Feminino,Privada,7.5,6.1,0.055999999999999994,1.0,0.0,2.0,0.0,3.5,5.0,15.0,5.6,-1.0,0,4.496080952
2291,2,Masculino,Pública,7.4,8.3,0.044000000000000004,8.0,10.0,6.0,0.0,7.6,10.0,12.0,7.8,0.0,0,7.740191604
2293,2,Masculino,Pública,8.0,9.5,0.075,9.0,9.5,8.5,0.0,7.9,10.0,11.0,8.4,0.0,0,8.677711905
2294,2,Masculino,Privada,7.0,8.0,0.075,8.8,8.5,9.0,0.0,8.2,10.0,11.0,8.4,0.0,0,8.277947494
2296,2,Feminino,Privada - Programa de Apadrinhamento,9.0,9.8,0.038,8.0,6.0,10.0,0.0,8.8,10.0,10.0,9.1,0.0,0,8.502330952
2299,2,Feminino,Pública,9.0,10.0,0.075,6.0,6.5,5.5,0.0,7.4,10.0,11.0,8.1,0.0,0,8.140366667
2303,2,Masculino,Pública,9.2,8.2,0.055999999999999994,6.8,8.0,5.5,0.0,6.5,5.0,12.0,7.7,-1.0,0,7.036624134
2304,2,Masculino,Pública,8.5,10.0,0.075,8.8,9.0,8.5,0.0,8.1,10.0,11.0,8.0,0.0,0,8.773575
2290,2,Masculino,Pública,7.5,9.2,0.075,7.3,6.5,8.0,0.0,8.0,10.0,11.0,8.8,0.0,0,8.273984461
2279,2,Feminino,Pública,8.0,8.8,0.069,7.3,5.0,9.5,0.0,7.5,10.0,11.0,8.4,0.0,0,8.040259524
2272,2,Masculino,Pública,9.5,10.0,0.081,7.5,6.0,9.0,0.0,9.5,10.0,11.0,8.3,0.0,0,8.986533333
2275,2,Masculino,Pública,7.5,8.1,0.075,7.5,7.5,7.5,0.0,8.2,10.0,11.0,7.7,0.0,0,8.033366667
2276,2,Masculino,Pública,7.5,9.0,0.075,5.3,1.5,9.0,0.0,7.2,5.0,12.0,7.1,-1.0,0,6.995247619
2277,2,Feminino,Pública,9.5,10.0,0.075,5.3,6.0,4.5,0.0,8.4,10.0,11.0,7.9,0.0,0,8.220866667
2278,2,Feminino,Pública,9.5,9.5,0.094,9.5,9.0,10.0,0.0,9.6,10.0,10.0,9.0,0.0,0,9.498580952
2280,2,Feminino,Pública,6.3,8.1,0.075,5.0,2.5,7.5,0.0,7.4,10.0,12.0,7.8,0.0,0,7.260202381
2283,2,Masculino,Pública,9.5,7.8,0.063,5.0,2.5,7.5,0.0,7.4,10.0,12.0,7.2,0.0,0,7.345521429
2284,2,Masculino,Pública,8.5,9.0,0.075,4.8,2.0,7.5,0.0,7.5,10.0,12.0,7.2,0.0,0,7.57947381
2285,2,Feminino,Pública,9.0,7.6,0.044000000000000004,3.0,3.0,3.0,0.0,6.0,10.0,11.0,5.6,0.0,0,6.219580952
2233,1,Masculino,Pública,10.0,8.4,0.075,8.3,6.5,10.0,0.0,6.8,10.0,8.0,6.9,0.0,0,8.119860173
2232,1,Feminino,Pública,9.0,9.1,0.075,6.3,6.5,6.0,0.0,7.4,10.0,9.0,7.5,0.0,0,7.946388312
2187,1,Masculino,Pública,9.0,7.4,0.075,6.3,6.5,6.0,0.0,5.7,5.0,12.0,7.9,-2.0,0,6.817057143
2181,1,Masculino,Pública,10.0,9.5,0.063,7.8,6.5,9.0,0.0,8.2,5.0,10.0,7.9,-1.0,0,8.006628572
2182,1,Masculino,Pública,10.0,8.3,0.075,6.8,6.5,7.0,0.0,8.6,5.0,11.0,8.5,-1.0,0,7.840033333
2183,1,Feminino,Pública,9.2,8.1,0.069,7.8,7.5,8.0,0.0,8.1,5.0,10.0,8.1,-1.0,0,7.703347619
2184,1,Feminino,Pública,9.5,9.3,0.075,7.0,6.5,7.5,0.0,8.3,5.0,11.0,8.1,-1.0,0,7.938842857
2185,1,Feminino,Pública,9.5,6.9,0.075,3.0,6.0,0.0,0.0,8.3,10.0,10.0,8.1,0.0,0,7.145652381
2186,1,Masculino,Pública,0.0,8.1,0.075,3.0,6.0,0.0,0.0,5.3,5.0,11.0,7.5,-1.0,0,5.286047619
2188,1,Masculino,Pública,10.0,10.0,0.063,6.8,5.5,8.0,0.0,8.6,5.0,10.0,7.5,-1.0,0,7.9442
2179,1,Masculino,Pública,9.5,10.0,0.075,8.8,9.5,8.0,0.0,8.4,5.0,10.0,8.8,-1.0,0,8.5107
2189,1,Feminino,Pública,9.0,9.0,0.075,5.3,5.5,5.0,0.0,8.1,10.0,9.0,9.2,0.0,0,8.044390476
2190,1,Masculino,Pública,8.5,9.3,0.075,8.3,8.5,8.0,0.0,8.3,5.0,10.0,9.2,-1.0,0,8.192009524
2192,1,Feminino,Pública,9.0,7.6,0.055999999999999994,6.8,6.5,7.0,0.0,7.3,5.0,11.0,8.3,-1.0,0,7.137342857
2193,1,Feminino,Pública,9.5,10.0,0.055999999999999994,6.0,6.0,6.0,0.0,8.2,5.0,11.0,9.0,-1.0,0,7.743033333
2194,1,Feminino,Pública,10.0,10.0,0.063,8.0,8.0,8.0,0.0,8.2,5.0,10.0,8.8,-1.0,0,8.2352
2180,1,Feminino,Pública,0.0,6.9,0.075,5.8,6.5,5.0,0.0,8.3,5.0,11.0,8.1,-1.0,0,6.245452381
2178,1,Feminino,Pública,10.0,9.0,0.075,8.5,9.0,8.0,0.0,8.3,5.0,10.0,8.3,-1.0,0,8.245057143
2169,1,Masculino,Pública,5.8,9.1,0.063,8.3,8.5,8.0,0.0,8.5,5.0,10.0,8.6,-1.0,0,7.744032576
2165,1,Feminino,Pública,9.5,5.8,0.075,2.8,5.5,0.0,0.0,5.8,5.0,11.0,7.5,-1.0,0,5.836747619
2166,1,Masculino,Pública,9.0,5.5,0.075,5.8,5.5,6.0,0.0,5.8,5.0,11.0,6.7,-1.0,0,6.237294368
2167,1,Masculino,Pública,9.5,8.0,0.075,4.5,4.0,5.0,0.0,6.7,5.0,11.0,7.7,-1.0,0,6.821885606
2170,1,Masculino,Pública,10.0,7.3,0.075,6.5,5.0,8.0,0.0,6.7,5.0,12.0,7.5,-1.0,0,7.11939697
2177,1,Feminino,Pública,7.9,6.0,0.055999999999999994,0.0,0.0,0.0,0.0,6.5,5.0,11.0,8.3,-1.0,0,5.178509524
2171,1,Masculino,Pública,10.0,5.8,0.075,5.5,4.0,7.0,0.0,5.9,5.0,12.0,7.2,-2.0,0,6.403040909
2172,1,Feminino,Pública,10.0,8.1,0.05,2.3,4.5,0.0,0.0,5.3,5.0,12.0,7.1,-2.0,0,5.845080952
2173,1,Feminino,Pública,8.0,10.0,0.075,8.8,8.5,9.0,0.0,8.6,10.0,9.0,8.5,0.0,0,8.873366667
2174,1,Masculino,Pública,9.5,10.0,0.075,7.8,7.5,8.0,0.0,8.0,5.0,11.0,8.8,-1.0,0,8.2272
2175,1,Feminino,Pública,10.0,6.0,0.075,6.0,6.0,6.0,0.0,8.3,5.0,11.0,7.9,-1.0,0,7.099342857
2176,1,Masculino,Pública,8.5,9.0,0.075,3.8,7.5,0.0,0.0,8.1,10.0,9.0,8.3,0.0,0,7.612057143
2195,1,Masculino,Pública,8.0,9.0,0.055999999999999994,7.3,6.5,8.0,0.0,8.1,5.0,10.0,8.8,-1.0,0,7.61472381
2223,1,Feminino,Pública,9.5,8.9,0.063,7.8,6.5,9.0,0.0,7.8,10.0,9.0,8.1,0.0,0,8.282379842
2219,1,Masculino,Pública,9.5,6.0,0.069,3.3,6.5,0.0,0.0,7.1,5.0,12.0,7.1,-1.0,0,6.117590646
2220,1,Masculino,Pública,9.5,9.5,0.063,8.5,8.0,9.0,0.0,9.2,10.0,9.0,8.3,0.0,0,8.853624242
2221,1,Feminino,Pública,9.0,8.9,0.055999999999999994,5.0,6.0,4.0,0.0,7.5,5.0,12.0,8.1,-1.0,0,7.051379842
2222,1,Feminino,Pública,9.0,6.9,0.063,8.5,8.0,9.0,0.0,7.8,10.0,9.0,8.1,0.0,0,7.961241502
2224,1,Feminino,Pública,8.5,5.3,0.075,3.3,6.5,0.0,0.0,7.1,5.0,11.0,8.1,-1.0,0,6.036012253
2225,1,Feminino,Pública,9.0,9.5,0.063,7.8,7.5,8.0,0.0,7.8,10.0,9.0,8.1,0.0,0,8.364790909
2226,1,Feminino,Pública,9.0,8.9,0.063,5.3,6.5,4.0,0.0,6.8,5.0,11.0,7.7,-1.0,0,6.984760606
2227,1,Feminino,Pública,7.5,9.3,0.075,7.8,6.5,9.0,0.0,7.9,5.0,10.0,7.9,-1.0,0,7.796431884
2230,1,Feminino,Pública,9.0,8.0,0.063,5.5,6.0,5.0,0.0,7.5,5.0,12.0,8.1,-1.0,0,7.034537945
2198,1,Masculino,Pública,9.5,9.0,0.075,8.3,8.5,8.0,0.0,8.1,5.0,12.0,8.5,-2.0,0,8.131890476
2199,1,Feminino,Pública,10.0,10.0,0.075,8.0,7.0,9.0,0.0,8.6,10.0,9.0,9.0,0.0,0,8.965033333
2200,1,Masculino,Pública,9.5,7.9,0.075,7.8,7.5,8.0,0.0,8.1,10.0,10.0,7.5,0.0,0,8.189628571
2201,1,Feminino,Pública,9.5,9.8,0.063,9.5,10.0,9.0,0.0,8.1,5.0,10.0,9.0,-1.0,0,8.441414286
2206,1,Feminino,Pública,10.0,10.0,0.063,10.0,10.0,10.0,0.0,9.8,10.0,9.0,9.5,0.0,0,9.531325
2207,1,Masculino,Pública,9.0,8.9,0.063,5.5,6.0,5.0,0.0,5.2,5.0,10.0,5.9,-1.0,0,6.529417909
2209,1,Masculino,Pública,10.0,10.0,0.075,9.8,10.0,9.5,0.0,9.1,5.0,10.0,9.1,-1.0,0,8.92545
2305,2,Masculino,Pública,7.5,9.8,0.069,6.8,6.0,7.5,0.0,7.6,10.0,10.0,7.0,0.0,0,7.964846739
2307,2,Feminino,Pública,7.0,8.7,0.044000000000000004,5.3,5.0,5.5,0.0,5.8,5.0,13.0,7.0,-1.0,0,6.296455435
2451,3,Feminino,Pública,8.8,7.7,0.055999999999999994,3.7,1.0,6.0,4.0,7.5,10.0,12.0,7.0,0.0,0,6.907110965
2308,2,Feminino,Pública,9.5,4.2,0.044000000000000004,2.5,0.0,5.0,0.0,4.8,5.0,12.0,5.8,-1.0,0,4.770487338
2399,2,Feminino,Pública,8.0,9.8,0.075,7.3,5.0,9.5,0.0,8.5,10.0,11.0,8.4,0.0,0,8.496283333
2400,2,Masculino,Pública,9.0,3.1,0.069,4.3,5.0,3.5,0.0,5.1,10.0,11.0,7.2,0.0,0,5.778986232
2401,2,Feminino,Pública,8.5,8.2,0.075,5.3,3.0,7.5,0.0,7.3,5.0,12.0,7.9,-1.0,0,7.052457703
2402,2,Masculino,Pública,9.2,4.8,0.075,7.3,8.0,6.5,0.0,6.7,5.0,12.0,6.7,-1.0,0,6.597315152
2403,2,Masculino,Pública,8.0,4.9,0.075,5.3,4.0,6.5,0.0,5.6,10.0,12.0,6.9,0.0,0,6.380227911
2404,2,Feminino,Pública,6.8,6.1,0.075,7.0,4.5,9.5,0.0,7.4,10.0,12.0,8.1,0.0,0,7.347388038
2406,2,Masculino,Pública,7.4,9.1,0.075,7.5,8.0,7.0,0.0,7.1,10.0,11.0,7.5,0.0,0,7.971648485
2407,2,Feminino,Pública,7.5,6.2,0.075,7.8,6.5,9.0,0.0,7.8,10.0,12.0,8.3,0.0,0,7.685321212
2408,2,Feminino,Pública,8.0,6.9,0.075,5.5,4.5,6.5,0.0,7.7,10.0,11.0,7.9,0.0,0,7.36189697
2409,2,Feminino,Privada - Programa de Apadrinhamento,7.0,9.8,0.075,9.3,8.5,10.0,0.0,8.8,10.0,11.0,9.2,0.0,0,8.929745455
2411,2,Feminino,Pública,8.5,5.7,0.075,5.0,4.0,6.0,0.0,5.9,10.0,11.0,8.1,0.0,0,6.746487879
2413,2,Masculino,Pública,9.0,6.9,0.075,4.5,3.0,6.0,0.0,5.8,5.0,12.0,8.1,-1.0,0,6.402239075
2397,2,Feminino,Pública,9.5,8.8,0.063,9.3,9.0,9.5,0.0,8.8,10.0,11.0,9.1,0.0,0,8.863493478
2396,2,Masculino,Pública,9.5,9.7,0.075,8.5,8.0,9.0,0.0,8.8,10.0,11.0,8.8,0.0,0,8.980235088
2382,2,Feminino,Pública,9.0,8.3,0.075,8.3,8.5,8.0,0.0,8.2,10.0,11.0,8.8,0.0,0,8.48450303
2383,2,Masculino,Pública,8.5,7.6,0.069,3.3,3.5,3.0,0.0,5.6,10.0,11.0,8.1,0.0,0,6.645260606
2384,2,Masculino,Pública,6.9,5.8,0.063,7.0,6.5,7.5,0.0,6.1,10.0,12.0,8.1,0.0,0,6.890966667
2395,2,Masculino,Privada,8.0,7.9,0.075,6.0,3.0,9.0,0.0,8.3,10.0,10.0,8.4,0.0,0,7.83837029
2389,2,Masculino,Privada - Programa de Apadrinhamento,8.4,9.5,0.063,5.8,4.0,7.5,0.0,7.8,10.0,10.0,8.4,0.0,0,7.922106827
2391,2,Feminino,Pública,8.0,8.8,0.075,4.5,3.5,5.5,0.0,7.7,10.0,10.0,8.1,0.0,0,7.563515408
2392,2,Masculino,Pública,5.3,9.8,0.075,7.8,9.0,6.5,0.0,6.1,5.0,12.0,7.8,-1.0,0,7.27925
2393,2,Feminino,Pública,9.0,6.8,0.075,5.8,3.0,8.5,0.0,7.7,10.0,12.0,8.1,0.0,0,7.501724409
2414,2,Feminino,Pública,7.4,8.4,0.075,5.3,3.0,7.5,0.0,7.6,10.0,12.0,7.7,0.0,0,7.502239394
2415,2,Masculino,Pública,9.5,9.1,0.075,9.5,9.0,10.0,0.0,8.7,10.0,11.0,8.5,0.0,0,9.01500303
2416,2,Masculino,Pública,6.8,3.5,0.075,4.8,4.0,5.5,0.0,2.9,5.0,12.0,5.0,-1.0,0,4.674365368
2442,3,Masculino,Pública,8.3,3.9,0.025,0.0,0.0,0.0,0.0,3.1,10.0,13.0,3.4,0.0,0,3.835477657
2436,2,Masculino,Pública,9.0,8.7,0.075,8.0,7.0,9.0,0.0,7.5,10.0,11.0,7.5,0.0,0,8.240330435
2438,2,Masculino,Pública,9.0,9.3,0.075,8.0,9.0,7.0,0.0,7.9,10.0,11.0,8.1,0.0,0,8.518457764
2439,2,Masculino,Pública,10.0,7.8,0.075,9.0,8.0,10.0,0.0,8.5,10.0,10.0,8.4,1.0,0,8.652552484
2440,3,Feminino,Pública,9.2,6.4,0.075,6.5,6.5,5.0,8.0,5.8,10.0,13.0,6.9,0.0,0,7.085994577
2441,3,Feminino,Privada,7.5,7.3,0.08800000000000001,6.3,6.0,5.5,7.5,8.9,10.0,13.0,7.8,0.0,0,7.922281328
2443,3,Masculino,Privada,10.0,5.3,0.063,5.7,5.0,4.5,7.5,6.2,10.0,13.0,6.7,0.0,0,6.726607508
2445,3,Feminino,Pública,9.6,5.2,0.094,3.2,3.0,6.5,0.0,6.8,2.5,16.0,7.0,-3.0,0,5.881225668
2447,3,Feminino,Pública,7.1,5.7,0.094,1.8,0.0,3.5,0.0,6.6,5.0,15.0,7.7,-1.0,0,5.721382143
2448,3,Masculino,Pública,9.6,8.1,0.094,6.5,4.0,6.0,9.5,7.5,10.0,13.0,7.5,0.0,0,8.074015455
2449,3,Feminino,Privada - Programa de Apadrinhamento,9.2,9.4,0.094,9.7,10.0,9.0,10.0,9.2,10.0,12.0,9.1,0.0,0,9.417137302
2435,2,Feminino,Pública,10.0,9.5,0.075,6.0,6.0,6.0,0.0,7.3,10.0,11.0,7.5,0.0,0,8.061295238
2417,2,Feminino,Pública,7.9,9.1,0.075,5.3,5.0,5.5,0.0,7.5,10.0,11.0,7.9,0.0,0,7.702648485
2419,2,Masculino,Pública,7.5,7.0,0.075,8.8,9.0,8.5,0.0,6.7,10.0,11.0,8.3,0.0,0,7.831797403
2421,2,Masculino,Pública,8.0,4.2,0.075,4.5,4.0,5.0,0.0,3.0,5.0,12.0,4.2,-1.0,0,4.804862338
2425,2,Feminino,Pública,9.5,10.0,0.075,9.0,8.0,10.0,0.0,8.9,10.0,11.0,8.8,0.0,0,9.154866667
2432,2,Masculino,Pública,9.0,10.0,0.075,9.0,8.0,10.0,0.0,7.8,5.0,13.0,7.2,-1.0,0,8.236616667
2427,2,Feminino,Pública,9.5,7.5,0.075,5.8,7.0,4.5,0.0,5.6,5.0,12.0,5.9,-1.0,0,6.57279265
2428,2,Masculino,Pública,7.5,6.8,0.075,6.8,4.0,9.5,0.0,6.9,5.0,13.0,7.2,-1.0,0,6.808935507
2429,2,Feminino,Privada,8.0,8.5,0.063,4.0,8.0,0.0,0.0,7.7,5.0,12.0,7.5,-1.0,0,6.712378054
2431,2,Feminino,Pública,7.5,7.5,0.075,6.3,4.0,8.5,0.0,6.3,5.0,14.0,6.3,-1.0,0,6.639761077
2380,2,Masculino,Pública,8.5,10.0,0.063,8.5,7.0,10.0,0.0,8.7,10.0,11.0,8.4,0.0,0,8.76595
2379,2,Feminino,Pública,8.0,4.3,0.075,6.3,6.5,6.0,0.0,5.8,10.0,12.0,7.5,0.0,0,6.570068687
2378,2,Feminino,Pública,8.3,5.1,0.055999999999999994,4.8,3.0,6.5,0.0,5.4,5.0,12.0,7.5,-1.0,0,5.69870303
2333,2,Feminino,Pública,8.0,7.5,0.075,8.5,10.0,7.0,0.0,7.3,10.0,11.0,7.5,0.0,0,7.964638597
2327,2,Masculino,Pública,7.4,8.2,0.055999999999999994,8.8,8.0,9.5,0.0,6.2,5.0,12.0,6.6,-1.0,0,7.083301553
2328,2,Masculino,Pública,10.0,6.3,0.075,3.3,4.0,2.5,0.0,5.8,5.0,12.0,7.0,-1.0,0,6.035771224
2329,2,Feminino,Pública,8.0,7.2,0.069,9.5,10.0,9.0,0.0,8.7,10.0,11.0,9.2,0.0,0,8.469255556
2330,2,Feminino,Pública,9.0,10.0,0.075,8.5,9.0,8.0,0.0,7.4,10.0,10.0,7.5,0.0,0,8.578533333
2331,2,Masculino,Pública,10.0,6.6,0.075,6.3,6.0,6.5,0.0,6.4,10.0,11.0,8.3,0.0,0,7.426572549
2332,2,Feminino,Pública,9.0,5.3,0.038,2.8,2.0,3.5,0.0,4.7,10.0,11.0,5.0,0.0,0,5.309825313
2325,2,Feminino,Pública,8.5,5.8,0.055999999999999994,8.0,7.0,9.0,0.0,6.5,5.0,12.0,6.6,-1.0,0,6.62915911
2335,2,Masculino,Pública,8.0,9.7,0.075,7.3,8.0,6.5,0.0,6.8,5.0,13.0,7.5,-1.0,0,7.549644444
2336,2,Masculino,Privada - Programa de Apadrinhamento,9.0,10.0,0.063,8.5,8.0,9.0,0.0,8.2,10.0,11.0,7.5,0.0,0,8.6102
2337,2,Feminino,Pública,10.0,9.5,0.055999999999999994,9.5,9.0,10.0,0.0,7.9,10.0,10.0,7.5,1.0,0,8.705811111
2338,2,Masculino,Pública,9.5,8.5,0.075,8.3,8.0,8.5,0.0,7.3,5.0,12.0,7.5,-1.0,0,7.7642
2339,2,Masculino,Pública,8.5,7.4,0.075,8.0,8.0,8.0,0.0,7.3,10.0,10.0,7.5,0.0,0,7.903311111
2340,2,Masculino,Pública,9.0,7.1,0.075,6.3,7.0,5.5,0.0,7.8,10.0,12.0,8.1,0.0,0,7.678917391
2326,2,Feminino,Pública,9.0,8.9,0.075,9.3,10.0,8.5,0.0,7.2,5.0,12.0,7.0,-1.0,0,7.928152122
2324,2,Feminino,Pública,8.5,10.0,0.075,9.3,9.0,9.5,0.0,8.5,10.0,12.0,7.8,0.0,0,8.93195
2342,2,Feminino,Pública,10.0,9.8,0.05,7.3,6.0,8.5,0.0,7.9,10.0,12.0,7.7,0.0,0,8.248346739
2315,2,Feminino,Pública,8.0,9.8,0.063,8.0,8.0,8.0,0.0,7.7,5.0,12.0,7.7,-1.0,0,7.788846739
2309,2,Feminino,Pública,0.0,7.1,0.063,3.3,3.0,3.5,0.0,7.0,10.0,11.0,7.7,0.0,0,5.870196429
2310,2,Feminino,Pública,7.9,7.7,0.044000000000000004,6.5,7.0,6.0,0.0,6.4,5.0,12.0,6.4,-1.0,0,6.497561842
2311,2,Feminino,Pública,7.5,9.5,0.075,7.0,7.0,7.0,0.0,7.2,10.0,11.0,7.2,0.0,0,7.966711905
2312,2,Masculino,Pública,9.5,7.3,0.075,6.3,6.0,6.5,0.0,6.8,5.0,13.0,7.2,-1.0,0,6.985788509
2313,2,Feminino,Pública,9.0,9.5,0.081,8.3,9.0,7.5,0.0,8.8,10.0,10.0,8.8,0.0,0,8.898602692
2316,2,Masculino,Pública,7.5,6.0,0.055999999999999994,6.8,7.0,6.5,0.0,6.0,5.0,13.0,6.6,-1.0,0,6.223637371
2323,2,Feminino,Pública,10.0,9.1,0.075,7.0,7.0,7.0,0.0,7.7,10.0,12.0,7.7,0.0,0,8.284130383
2317,2,Masculino,Pública,8.5,7.8,0.075,7.3,6.0,8.5,0.0,7.5,10.0,11.0,7.5,0.0,0,7.861995031
2318,2,Feminino,Pública,8.0,8.0,0.055999999999999994,6.8,6.0,7.5,0.0,6.4,5.0,12.0,7.2,-1.0,0,6.813364079
2319,2,Masculino,Pública,8.0,7.5,0.075,6.8,6.0,7.5,0.0,6.8,10.0,11.0,7.0,0.0,0,7.467500983
2320,2,Masculino,Pública,0.0,6.9,0.063,4.0,8.0,0.0,0.0,7.0,5.0,13.0,7.7,-1.0,0,5.465366201
2321,2,Feminino,Pública,8.5,8.7,0.069,9.3,9.0,9.5,0.0,8.0,10.0,11.0,7.5,0.0,0,8.469548861
2369,2,Masculino,Pública,0.0,8.5,0.075,5.8,6.0,5.5,0.0,7.7,10.0,11.0,7.5,0.0,0,6.879985507
2364,2,Feminino,Pública,8.0,8.0,0.075,7.5,8.0,7.0,0.0,7.2,10.0,11.0,7.5,0.0,0,7.847373913
2365,2,Masculino,Pública,8.5,7.1,0.055999999999999994,6.5,6.0,7.0,0.0,6.9,5.0,12.0,6.9,-1.0,0,6.696419462
2368,2,Feminino,Pública,9.5,8.4,0.063,7.3,7.0,7.5,0.0,7.4,10.0,11.0,7.5,0.0,0,7.93262236
2371,2,Masculino,Pública,8.0,9.1,0.063,8.8,9.0,8.5,0.0,8.7,10.0,11.0,7.7,0.0,0,8.51364617
2372,2,Feminino,Privada - Programa de Apadrinhamento,8.0,9.8,0.055999999999999994,8.8,8.0,9.5,0.0,9.4,10.0,11.0,9.4,0.0,0,8.885745455
2373,2,Masculino,Pública,8.0,10.0,0.063,7.5,7.5,7.5,0.0,9.2,10.0,11.0,9.1,0.0,0,8.67845
2374,2,Feminino,Privada - Programa de Apadrinhamento,8.0,9.5,0.063,9.8,9.5,10.0,0.0,9.4,10.0,12.0,9.7,0.0,0,9.134040909
2375,2,Masculino,Pública,9.6,6.0,0.063,3.3,3.5,3.0,0.0,6.2,10.0,12.0,7.8,0.0,0,6.448416667
2376,2,Masculino,Pública,8.5,8.9,0.063,7.3,8.0,6.5,0.0,8.0,10.0,11.0,8.8,0.0,0,8.174593939
2360,2,Masculino,Pública,8.0,8.2,0.075,4.0,8.0,0.0,0.0,7.2,10.0,12.0,7.9,0.0,0,7.229425673
2344,2,Masculino,Pública,10.0,6.4,0.063,3.8,4.0,3.5,0.0,5.8,5.0,14.0,6.6,-2.0,0,5.967732609
2351,2,Masculino,Pública,9.2,8.7,0.075,8.3,7.0,9.5,0.0,7.9,5.0,12.0,8.0,-1.0,0,7.930283696
